,レース,芝ダ,距離,天候,馬場,着順,馬番,性齢,斤量,騎手,単勝,人気,馬体重,増減
571,4,ダート,1200m,晴,良,1,2,牝3,54,"
江田照男
",7.6,4,440,0
572,4,ダート,1200m,晴,良,2,11,牝3,54,"
勝浦正樹
",26.5,8,456,0
573,4,ダート,1200m,晴,良,3,3,牝3,54,"
北村宏司
",7.2,3,430,0
574,4,ダート,1200m,晴,良,4,14,牝3,54,"
戸崎圭太
",4.5,2,430,0
575,4,ダート,1200m,晴,良,5,10,牝3,54,"
石橋脩
",12.0,7,462,0
576,4,ダート,1200m,晴,良,6,8,牝3,54,"
丸田恭介
",10.2,5,436,0
577,4,ダート,1200m,晴,良,7,13,牝3,54,"
大野拓弥
",2.6,1,444,0
578,4,ダート,1200m,晴,良,8,15,牝3,54,"
岩部純二
",69.1,10,442,0
579,4,ダート,1200m,晴,良,9,9,牝3,54,"
西田雄一
",171.6,14,482,0
580,4,ダート,1200m,晴,良,10,16,牝3,54,"
的場勇人
",36.2,9,464,0
581,4,ダート,1200m,晴,良,11,12,牝3,54,"
松岡正海
",11.3,6,454,0
582,4,ダート,1200m,晴,良,12,4,牝3,54,"
嶋田純次
",165.7,13,430,0
583,4,ダート,1200m,晴,良,13,5,牝3,54,"
村田一誠
",214.8,16,418,0
584,4,ダート,1200m,晴,良,14,7,牝3,54,"
横山和生
",93.2,11,408,0
585,4,ダート,1200m,晴,良,15,6,牝3,54,"
嘉藤貴行
",206.3,15,424,0
586,4,ダート,1200m,晴,良,16,1,牝3,54,"
木幡初広
",138.5,12,456,0
587,5,芝,外1600m,晴,良,1,10,牡3,56,"
柴田善臣
",7.4,4,454,0
588,5,芝,外1600m,晴,良,2,16,牝3,53,"
木幡初也
",5.8,3,448,0
589,5,芝,外1600m,晴,良,3,8,牝3,51,"
野中悠太
",34.1,7,444,0
590,5,芝,外1600m,晴,良,4,11,牝3,54,"
三浦皇成
",16.0,6,488,0
591,5,芝,外1600m,晴,良,5,2,牝3,54,"
横山和生
",148.1,13,466,0
592,5,芝,外1600m,晴,良,6,14,牡3,56,"
丸田恭介
",81.7,11,426,0
593,5,芝,外1600m,晴,良,7,6,牝3,54,"
西田雄一
",104.6,12,422,0
594,5,芝,外1600m,晴,良,8,12,牝3,54,"
柴山雄一
",4.5,2,468,0
595,5,芝,外1600m,晴,良,9,1,牡3,56,"
戸崎圭太
",2.2,1,532,0
596,5,芝,外1600m,晴,良,10,7,牝3,54,"
柴田大知
",79.1,10,376,0
597,5,芝,外1600m,晴,良,11,5,牡3,56,"
北村宏司
",10.5,5,500,0
598,5,芝,外1600m,晴,良,12,3,牝3,54,"
石橋脩
",63.8,9,424,0
599,5,芝,外1600m,晴,良,13,4,牡3,56,"
村田一誠
",230.2,16,426,0
600,5,芝,外1600m,晴,良,14,15,牡3,56,"
武士沢友
",186.9,15,466,0
601,5,芝,外1600m,晴,良,15,9,牡3,56,"
木幡初広
",156.6,14,438,0
602,5,芝,外1600m,晴,良,16,13,牡3,56,"
松岡正海
",40.3,8,500,0
603,6,芝,2000m,晴,良,1,10,牝3,54,"
森泰斗
",9.3,4,438,+8
604,6,芝,2000m,晴,良,2,13,牡3,56,"
北村宏司
",7.4,3,514,0
605,6,芝,2000m,晴,良,3,6,牝3,54,"
戸崎圭太
",3.9,2,486,+10
