,レース,芝ダ,距離,天候,馬場,着順,馬番,斤量,単勝,人気,馬体重,増減,複勝
736,3,1,1800,0,0,1,10,55.0,104.3,14,472,0,2010
736,9,0,1800,0,0,1,8,54.0,11.7,5,454,-2,440
736,12,0,1200,0,0,3,17,55.0,8.3,5,486,-2,310
736,1,0,1200,0,1,7,7,54.0,158.9,8,484,2,0
736,11,1,1400,0,1,6,10,56.0,243.1,14,484,-10,0
736,9,1,1700,0,1,13,10,55.0,21.7,7,468,-2,0
736,7,0,1800,0,0,4,4,56.0,15.9,7,476,6,0
737,9,0,1800,0,0,2,2,57.0,15.1,7,462,0,390
737,10,0,1800,0,1,1,3,54.0,20.0,6,502,2,300
737,3,1,1800,0,0,2,12,56.0,4.8,2,458,0,210
737,1,0,1200,0,1,8,5,52.0,43.1,5,446,10,0
737,12,0,1200,0,0,4,11,55.0,7.5,3,448,-4,0
737,11,1,1400,0,1,7,5,56.0,186.2,12,498,-8,0
737,7,0,1800,0,0,5,15,56.0,2.8,1,518,10,0
738,3,1,1800,0,0,3,6,56.0,70.4,13,506,0,2200
738,9,0,1800,0,0,3,1,57.0,6.7,3,488,0,330
738,10,0,1800,0,1,2,4,54.0,1.4,1,490,2,110
738,1,0,1200,0,1,9,2,52.0,57.1,6,408,2,0
738,12,0,1200,0,0,5,4,57.0,2.7,1,438,-4,0
738,11,1,1400,0,1,8,12,57.0,11.0,5,484,4,0
738,7,0,1800,0,0,6,12,56.0,4.7,2,510,24,0
739,10,0,1800,0,1,3,2,57.0,7.8,2,460,6,180
739,2,1,1700,0,1,1,8,56.0,1.9,1,442,-14,120
739,12,0,1200,0,0,6,1,57.0,58.8,13,478,-10,0
739,11,1,1400,0,1,9,4,57.0,4.3,2,560,-4,0
739,9,0,1800,0,0,4,15,54.0,13.2,6,446,0,0
739,3,1,1800,0,0,4,9,56.0,11.2,5,534,0,0
739,7,0,1800,0,0,7,5,54.0,323.5,15,436,-6,0
740,2,1,1700,0,1,2,4,56.0,22.0,6,490,-2,380
740,12,0,1200,0,0,7,10,57.0,5.8,2,510,-8,0
740,11,1,1400,0,1,10,13,56.0,27.0,8,516,4,0
740,10,0,1800,0,1,4,1,52.0,44.5,10,470,0,0
740,9,0,1800,0,0,5,14,57.0,2.6,1,510,-6,0
740,3,1,1800,0,0,5,7,56.0,8.8,4,480,0,0
740,7,0,1800,0,0,8,13,54.0,85.8,13,428,-6,0
741,2,1,1700,0,1,3,3,56.0,16.7,5,456,0,260
741,12,0,1200,0,0,8,14,57.0,16.2,6,512,-2,0
741,11,1,1400,0,1,11,2,56.0,24.8,7,532,-10,0
741,10,0,1800,0,1,5,5,54.0,29.5,7,430,-6,0
741,9,0,1800,0,0,6,13,57.0,25.4,11,446,0,0
741,3,1,1800,0,0,6,14,54.0,20.3,7,454,0,0
741,7,0,1800,0,0,9,6,57.0,5.3,3,494,2,0
742,12,0,1200,0,0,9,8,55.0,40.1,11,438,-6,0
742,11,1,1400,0,1,12,6,56.0,189.7,13,494,-2,0
742,2,1,1700,0,1,4,6,56.0,5.3,3,468,8,0
742,10,0,1800,0,1,6,8,57.0,16.8,5,444,6,0
742,9,0,1800,0,0,7,11,57.0,208.7,15,500,-4,0
742,3,1,1800,0,0,7,15,53.0,58.5,12,450,0,0
742,7,0,1800,0,0,10,8,54.0,74.9,11,426,4,0
743,12,0,1200,0,0,10,9,57.0,29.9,9,468,2,0
743,11,1,1400,0,1,13,7,56.0,52.8,10,492,6,0
743,2,1,1700,0,1,5,13,54.0,12.1,4,452,-8,0
743,10,0,1800,0,1,7,6,57.0,37.3,8,484,6,0
743,9,0,1800,0,0,8,10,55.0,15.6,8,444,6,0
743,3,1,1800,0,0,8,13,56.0,134.9,15,484,0,0
743,7,0,1800,0,0,11,3,54.0,7.2,4,466,8,0
744,12,0,1200,0,0,11,15,55.0,31.5,10,500,-8,0
744,11,1,1400,0,1,14,3,56.0,117.8,11,488,-14,0
744,2,1,1700,0,1,6,7,56.0,22.4,7,474,8,0
744,10,0,1800,0,1,8,7,57.0,9.5,3,468,4,0
