,距離,馬場,着順,馬番,斤量,単勝,人気,増減,前着順,前距離,前馬番,前人気,複勝
13013,1200,0,12,8,54,93.7,12,-8,13,1200,13,14,0
13014,1200,0,13,1,54,62.4,10,-14,7,1600,4,7,0
13015,1200,0,1,3,57,7.8,3,-4,7,1400,16,1,320
13016,1200,0,2,4,57,108,12,-4,15,1200,14,5,2210
13017,1200,0,3,7,57,358.9,17,0,5,1200,9,13,6410
13018,1200,0,4,13,57,2.5,1,-2,1,1200,2,1,0
13019,1200,0,5,5,57,92.8,11,-6,3,1200,18,12,0
13020,1200,0,6,8,55,9.8,5,-2,2,1400,1,4,0
13021,1200,0,7,16,55,36.7,8,-6,1,1400,10,9,0
13022,1200,0,8,12,57,9.2,4,-2,3,1400,3,2,0
13023,1200,0,9,6,57,14.2,7,-4,5,1200,17,10,0
13024,1200,0,10,2,57,317.4,16,-2,8,1400,5,14,0
13025,1200,0,11,17,57,129.8,14,10,3,1200,6,7,0
13026,1200,0,12,14,55,174.7,15,-4,4,1200,2,6,0
13027,1200,0,13,11,57,414.1,18,-8,13,1400,15,15,0
13028,1200,0,14,9,55,11.4,6,2,2,1200,12,2,0
13029,1200,0,15,15,55,4.1,2,-6,1,1200,14,1,0
13030,1200,0,16,18,55,40.6,9,18,10,1200,5,3,0
13031,1200,0,17,1,57,80.5,10,-4,15,1200,3,14,0
13032,1200,0,18,10,55,110.1,13,8,16,1200,11,4,0
13033,1600,1,1,7,54,1.5,1,0,5,1600,7,1,110
13034,1600,1,2,8,54,4.5,2,0,5,1600,8,2,110
13035,1600,1,3,9,54,6.1,3,0,5,1600,9,3,130
13036,1600,1,4,4,51,78.3,8,0,5,1600,4,8,0
13037,1600,1,5,3,54,49.4,6,0,5,1600,3,6,0
13038,1600,1,7,1,54,68.8,7,0,5,1600,1,7,0
13039,1600,1,8,6,54,36.4,5,0,5,1600,6,5,0
13040,1600,1,9,2,54,194.6,9,0,5,1600,2,9,0
13041,2200,1,1,5,56,2.5,1,-6,3,1800,9,1,130
13042,2200,1,2,10,56,8,4,-2,3,2400,5,7,200
13043,2200,1,3,12,56,5.9,3,4,5,2000,2,6,160
13044,2200,1,4,13,54,3.5,2,0,8,2000,11,4,0
13045,2200,1,5,7,52,18.2,7,-2,7,2000,12,11,0
13046,2200,1,6,11,56,11,6,-10,6,2600,6,3,0
13047,2200,1,7,6,56,80.3,9,-8,10,2600,5,8,0
13048,2200,1,8,3,56,10.5,5,-26,15,1600,15,9,0
13049,2200,1,10,9,56,269.3,13,0,15,2200,4,14,0
13050,2200,1,11,8,51,122,10,4,14,1800,2,16,0
13051,2200,1,12,1,51,69,8,-4,12,1800,1,7,0
