iter	Passed	Remaining
608	3738	2400
609	3742	2392
610	3746	2385
611	3750	2377
612	3754	2370
613	3758	2362
614	3762	2355
615	3766	2347
616	3769	2340
617	3773	2332
618	3777	2325
619	3781	2317
620	3785	2310
621	3789	2303
622	3793	2295
623	3797	2287
624	3800	2280
625	3804	2273
626	3807	2265
627	3811	2257
628	3816	2251
629	3823	2245
630	3830	2240
631	3837	2234
632	3843	2228
633	3850	2222
634	3861	2219
635	3867	2213
636	3874	2208
637	3881	2202
638	3888	2196
639	3895	2191
640	3902	2185
641	3907	2178
642	3913	2172
643	3919	2166
644	3925	2160
645	3929	2153
646	3933	2145
647	3937	2138
648	3940	2131
649	3944	2124
650	3948	2116
651	3952	2109
652	3956	2102
653	3960	2095
654	3964	2087
655	3967	2080
656	3971	2073
657	3975	2066
658	3978	2058
659	3982	2051
660	3986	2044
661	3990	2037
662	3995	2030
663	3998	2023
664	4002	2016
665	4006	2009
666	4010	2002
667	4015	1995
668	4024	1991
669	4063	2001
670	4069	1995
671	4076	1989
672	4083	1984
673	4090	1978
674	4097	1972
675	4104	1967
676	4111	1961
677	4115	1954
678	4120	1948
679	4124	1941
680	4130	1934
681	4133	1927
682	4137	1920
683	4141	1913
684	4145	1906
685	4150	1899
686	4155	1893
687	4159	1886
688	4163	1879
689	4167	1872
690	4170	1865
691	4175	1858
692	4178	1851
693	4182	1844
694	4186	1837
695	4190	1830
696	4194	1823
697	4198	1816
698	4209	1812
699	4213	1805
700	4219	1799
701	4225	1793
702	4233	1788
703	4239	1782
704	4246	1776
705	4252	1771
706	4260	1765
707	4265	1759
708	4273	1753
709	4277	1747
710	4284	1741
711	4291	1735
712	4299	1730
713	4305	1724
714	4311	1718
715	4316	1712
716	4322	1705
717	4327	1699
718	4331	1692
719	4335	1686
720	4339	1679
721	4343	1672
722	4346	1665
723	4350	1658
724	4354	1651
725	4357	1644
726	4362	1638
727	4365	1631
728	4369	1624
729	4373	1617
730	4377	1610
731	4381	1604
732	4384	1597
733	4389	1590
734	4393	1584
735	4397	1577
736	4401	1570
737	4405	1563
738	4409	1557
739	4416	1551
740	4424	1546
741	4429	1540
742	4436	1534
743	4441	1528
744	4448	1522
745	4452	1515
746	4459	1510
747	4465	1504
748	4473	1499
749	4480	1493
750	4486	1487
751	4493	1482
752	4499	1475
753	4506	1470
754	4511	1464
755	4516	1457
756	4520	1451
757	4524	1444
758	4528	1437
759	4532	1431
760	4536	1424
761	4540	1418
762	4544	1411
763	4548	1404
764	4552	1398
765	4556	1391
766	4559	1385
767	4563	1378
768	4567	1371
769	4571	1365
770	4575	1358
771	4578	1352
772	4582	1345
773	4586	1339
774	4590	1332
775	4594	1326
776	4597	1319
777	4601	1313
778	4605	1306
779	4610	1300
780	4617	1294
781	4623	1288
782	4629	1283
783	4635	1277
784	4642	1271
785	4649	1265
786	4656	1260
787	4663	1254
788	4668	1248
789	4672	1242
790	4680	1236
791	4687	1231
792	4694	1225
793	4700	1219
794	4706	1213
795	4712	1207
796	4718	1201
797	4722	1195
798	4727	1189
799	4731	1182
800	4735	1176
801	4738	1169
802	4742	1163
803	4746	1157
804	4750	1150
805	4754	1144
806	4758	1138
807	4762	1131
808	4765	1125
809	4769	1118
810	4773	1112
811	4776	1105
812	4780	1099
813	4784	1093
