,レース,芝ダ,距離,天候,馬場,着順,馬番,斤量,単勝,人気,馬体重,増減
2814,7,0,2000,0,0,7,7,53.0,11.5,3,464,-8
2815,7,0,2000,0,0,8,14,53.0,140.8,16,450,1
2816,7,0,2000,0,0,9,11,51.0,55.1,12,462,-8
2817,7,0,2000,0,0,10,12,55.0,41.0,10,486,-2
2818,7,0,2000,0,0,11,4,52.0,51.7,11,422,-6
2819,7,0,2000,0,0,12,5,50.0,22.2,6,454,8
2820,7,0,2000,0,0,13,3,55.0,95.6,14,430,10
2821,7,0,2000,0,0,14,16,55.0,72.4,13,436,-6
2822,7,0,2000,0,0,15,8,54.0,114.5,15,470,8
2823,7,0,2000,0,0,16,9,53.0,25.9,9,434,-10
2824,8,0,1200,0,0,1,1,54.0,15.6,8,440,-10
2825,8,0,1200,0,0,2,6,56.0,25.7,9,454,6
2826,8,0,1200,0,0,3,4,54.0,30.9,10,428,6
2827,8,0,1200,0,0,4,12,54.0,75.3,12,460,2
2828,8,0,1200,0,0,5,5,54.0,3.3,1,454,22
2829,8,0,1200,0,0,6,15,57.0,13.6,5,498,-2
2830,8,0,1200,0,0,7,13,56.0,119.0,15,418,-10
2831,8,0,1200,0,0,8,3,54.0,4.2,2,438,0
2832,8,0,1200,0,0,9,7,54.0,83.7,13,470,4
2833,8,0,1200,0,0,10,10,52.0,211.0,16,436,-8
2834,8,0,1200,0,0,11,11,55.0,15.4,7,486,5
2835,8,0,1200,0,0,12,8,57.0,10.8,4,450,-2
2836,8,0,1200,0,0,13,16,54.0,14.1,6,448,-4
2837,8,0,1200,0,0,14,14,55.0,32.4,11,496,-14
2838,8,0,1200,0,0,15,2,57.0,115.7,14,484,-8
2839,8,0,1200,0,0,16,9,54.0,5.0,3,436,24
2840,9,1,1150,0,0,1,12,53.0,5.1,2,494,0
2841,9,1,1150,0,0,2,13,56.0,7.9,5,460,-14
2842,9,1,1150,0,0,3,1,57.0,7.5,4,488,-2
2843,9,1,1150,0,0,4,7,56.0,29.5,9,498,12
2844,9,1,1150,0,0,5,11,54.0,10.6,6,504,4
2845,9,1,1150,0,0,6,6,53.0,150.4,14,420,6
2846,9,1,1150,0,0,7,16,55.0,11.7,7,490,0
2847,9,1,1150,0,0,8,9,56.0,5.7,3,496,10
2848,9,1,1150,0,0,9,10,55.0,178.9,15,390,-6
2849,9,1,1150,0,0,10,3,56.0,33.2,10,492,2
2850,9,1,1150,0,0,11,5,57.0,337.1,16,474,-4
2851,9,1,1150,0,0,12,8,57.0,86.1,13,488,2
2852,9,1,1150,0,0,13,15,57.0,3.8,1,460,-4
2853,9,1,1150,0,0,14,14,55.0,14.5,8,536,-2
2854,9,1,1150,0,0,15,4,54.0,85.5,12,474,-8
2855,9,1,1150,0,0,16,2,57.0,75.5,11,548,4
2856,10,0,1200,0,0,1,5,55.0,15.8,8,444,-2
2857,10,0,1200,0,0,2,15,55.0,4.0,1,494,4
2858,10,0,1200,0,0,3,16,55.0,35.5,10,458,2
2859,10,0,1200,0,0,4,14,54.0,120.8,14,418,-6
2860,10,0,1200,0,0,5,11,54.0,32.5,9,452,2
2861,10,0,1200,0,0,6,13,54.0,7.6,4,412,-8
2862,10,0,1200,0,0,7,3,55.0,13.8,7,462,6
2863,10,0,1200,0,0,8,8,54.0,4.3,2,444,6
2864,10,0,1200,0,0,9,6,55.0,50.3,11,478,8
2865,10,0,1200,0,0,10,4,55.0,6.6,3,496,4
2866,10,0,1200,0,0,11,1,54.0,13.4,6,398,-6
